epoch,split,total_loss,charb_loss,ssim_value,psnr,ssim
1,train,0.13690702357247983,0.0919914676669716,0.6834307638467945,18.9440309783805,0.6834307638467945
1,val,0.11766057863509913,0.06273572004849104,0.6626399870184686,21.019795259983418,0.6626399870184686
2,train,0.10588027785457813,0.07185542256263272,0.7580203092143563,21.026465370627864,0.7580203092143563
2,val,0.08061826284304803,0.04526289516939319,0.777960266462333,23.594706981302167,0.777960266462333
3,train,0.10007635848915396,0.06635201905815094,0.7650262924201588,21.52930230695485,0.7650262924201588
3,val,0.0912321301083341,0.05060896637226395,0.7462752149473849,23.26629872630826,0.7462752149473849
4,train,0.10056965495725322,0.06723090915979654,0.766075370486245,21.490489094882864,0.766075370486245
4,val,0.08371423245441154,0.04939237470812292,0.7789983365604346,22.778038690416075,0.7789983365604346
5,train,0.0979529096259817,0.06491776729647085,0.7699065295689006,21.69633887113274,0.7699065295689006
5,val,0.0819565544400713,0.04371146326415616,0.7650630808562684,23.815731048583984,0.7650630808562684
6,train,0.09234950047680407,0.05973935603897155,0.7772099293003517,22.202320983654644,0.7772099293003517
6,val,0.08030850072022824,0.04400041521855181,0.7744591572730661,23.716530202961653,0.7744591572730661
7,train,0.09236543272894598,0.059613607830931024,0.7766272766735164,22.235397043336935,0.7766272766735164
7,val,0.08504662430114887,0.046076184152055985,0.7590716151024798,23.740742292335565,0.7590716151024798
8,train,0.08960263569885334,0.0574262568075564,0.7816918558040953,22.457135399938082,0.7816918558040953
8,val,0.07608307518547387,0.04036828307367915,0.7810577563673472,24.23472117691589,0.7810577563673472
9,train,0.08821984561790532,0.05601439031882091,0.782958340055589,22.622623646667247,0.782958340055589
9,val,0.07735387119029066,0.04048613935923405,0.7751752014854829,24.217410629601787,0.7751752014854829
10,train,0.08717286118621383,0.055436933551252794,0.785883435731605,22.62435544670308,0.785883435731605
10,val,0.0799517542177395,0.04478067251444935,0.7793639189690995,23.6899622978924,0.7793639189690995
11,train,0.08641582771342517,0.05423694774296007,0.7848686594020278,22.795863216820777,0.7848686594020278
11,val,0.07215453400243108,0.037408080796222036,0.7888596531727331,24.830644532073315,0.7888596531727331
12,train,0.08622796750652247,0.05431559689682926,0.7861225577814951,22.8022349542538,0.7861225577814951
12,val,0.0758485349498207,0.04017143772928406,0.7814430761680329,24.259011824353994,0.7814430761680329
13,train,0.08383053427158427,0.05233578248296514,0.7901904663432233,23.11035943665885,0.7901904663432233
13,val,0.07146325143013926,0.03641370911043968,0.7883385792910624,24.928065896891862,0.7883385792910624
14,train,0.085110994098361,0.053223283918921484,0.7873381723015934,22.978034853481976,0.7873381723015934
14,val,0.08088876308082679,0.0424417524109427,0.765323194239637,23.939606268628896,0.765323194239637
15,train,0.08306795937281825,0.05092622090074386,0.7883650950605878,23.201728624989325,0.7883650950605878
15,val,0.07427486086384859,0.0396614553835645,0.7872715172150152,24.470290911283424,0.7872715172150152
16,train,0.0826698000553443,0.05092411874634118,0.7903474818617672,23.17151848354267,0.7903474818617672
16,val,0.0723945844034068,0.03756476664687875,0.788286144570481,24.89338854920092,0.788286144570481
17,train,0.08313982673131015,0.0512020733249958,0.789109167490622,23.16584868848097,0.789109167490622
17,val,0.0729943710184998,0.038020049325666196,0.7871083422101659,24.582628236400137,0.7871083422101659
18,train,0.08259950073952911,0.0506568479319829,0.7896298945176737,23.242572349287258,0.7896298945176737
18,val,0.07466438038529251,0.039601449151154905,0.785083894678157,24.580507216693686,0.785083894678157
19,train,0.0820090093653465,0.050563744265770275,0.7922099367520655,23.23388329204951,0.7922099367520655
