epoch,split,total_loss,charb_loss,ssim_value,psnr,ssim
1,train,0.1393955543410642,0.093323857031281,0.6763176679462478,19.38533071442702,0.6763176679462478
1,val,0.07769056520016078,0.041272609889936106,0.7766376135589408,24.985167752412195,0.7555000475770849
2,train,0.10518148618647581,0.07088541509335712,0.7576342392783655,21.108107380993918,0.7576342392783655
2,val,0.09284388583233893,0.0536959274142659,0.7505642804953692,22.729251197974182,0.728354154377997
3,train,0.10037026462984402,0.06672119933531084,0.7650334825987145,21.52686696088813,0.7650334825987145
3,val,0.08708250042881893,0.047916672648124985,0.7562541884484051,23.81978840966688,0.7336374078508762
4,train,0.09991867003870328,0.06703630087989251,0.7685518602454617,21.522857798369664,0.7685518602454617
4,val,0.08344774299817127,0.04407976763389951,0.7590803555447421,24.560239617890982,0.7388859105338867
5,train,0.09599611370650761,0.06343839643700154,0.7737730256504886,21.871348068741337,0.7737730256504886
5,val,0.09429093355433543,0.052687959497620306,0.7392971702188039,23.115331137312722,0.7183516209887014
6,train,0.09611662002032474,0.06367149822654719,0.7741029006446722,21.883120736241793,0.7741029006446722
6,val,0.074783124013556,0.038654912631663915,0.7807040304588757,25.30326279057191,0.7602304158200749
7,train,0.09360850608054223,0.0610634276728383,0.7762111879800209,22.162551111594805,0.7762111879800209
7,val,0.07707165085154472,0.04159924532655332,0.7810387270484896,24.898511137753733,0.7599235475510002
8,train,0.09146534846281144,0.05939702924780066,0.7802613808175004,22.30327507388909,0.7802613808175004
8,val,0.07748254206862379,0.04288194006268712,0.7841150499076295,24.747436539555796,0.7634306813029648
9,train,0.08980749601307024,0.057941745729415815,0.7827295107986537,22.441592789874782,0.7827295107986537
9,val,0.08309866231229665,0.04661299674872228,0.7709586754334059,24.320042810122906,0.7498596310258198
10,train,0.08717347972604939,0.055021301003973296,0.7842178130557782,22.788806544057316,0.7842178130557782
10,val,0.07713050563022386,0.041579447921177896,0.7806652635335922,24.80277352700645,0.759234653424016
11,train,0.08637412353471885,0.054820024840420416,0.7874094890324335,22.78014646283574,0.7874094890324335
11,val,0.08714313166175812,0.050006432123750236,0.7643100701862102,23.521288210871155,0.7427188668766325
12,train,0.08688746699390529,0.05501504200988736,0.785622839918608,22.7435384639769,0.785622839918608
12,val,0.07773685703228275,0.04224668629802496,0.780302460030686,24.796446532219296,0.7587564982098641
13,train,0.08403938304732055,0.05265827867213084,0.7904362063217526,23.09424064911817,0.7904362063217526
13,val,0.0753011828114232,0.04121255524215295,0.7883443069114959,25.11313441975487,0.767738746948165
14,train,0.0840620433295521,0.05260449834876187,0.790107783595872,23.015924560706424,0.790107783595872
14,val,0.07214603708427164,0.03770962101909861,0.7901082986550365,25.51347244735322,0.76972965376197
15,train,0.08295413911937534,0.05124590335194262,0.7902129242628699,23.156730872596626,0.7902129242628699
15,val,0.07456168421416834,0.037962257600784734,0.7790406093322974,25.381106447330296,0.7587961145013357
16,train,0.08168382657259816,0.05001466016253251,0.7916395150889916,23.286628659687114,0.7916395150889916
16,val,0.08374299629986726,0.050476396255355944,0.783190603522088,23.69455384846362,0.7623049682207245
17,train,0.08269864051627569,0.05154386477566151,0.7926822628811738,23.108120628636147,0.7926822628811738
17,val,0.0726563303456675,0.037882148345141746,0.7882469416522294,25.64509092427686,0.767643400778373
18,train,0.0806570000691559,0.04968587246089607,0.795458496750081,23.39589704805454,0.795458496750081
18,val,0.07445100286988905,0.04051503558515859,0.7898051279911892,25.167353977306682,0.7690509924178215
19,train,0.08197459948564324,0.05034348599527725,0.7915009536670641,23.281509291536455,0.7915009536670641
19,val,0.07239445936497593,0.03774975073731524,0.7890267061243812,25.386761642208253,0.7681857617817623
20,train,0.08156635438378886,0.05044892520958933,0.7939639358919383,23.256415164969265,0.7939639358919383
20,val,0.0715410782788083,0.0378596106872445,0.7937330513549365,25.665960637939033,0.7734220203467839
21,train,0.08136959860505033,0.04977345468384345,0.7922458338193568,23.366018381862133,0.7922458338193568
21,val,0.07475862204492521,0.040301588283543535,0.7874132429095481,25.3484666358445,0.7669000204304139
22,train,0.07963136564444454,0.04856029772217396,0.7960843697700211,23.51753744562316,0.7960843697700211
22,val,0.07459834417958049,0.03906756658911062,0.7832785454585398,25.325113705169887,0.7622800302609123
23,train,0.08055961098054516,0.048801888010602715,0.792409503584579,23.418034689054743,0.792409503584579
23,val,0.07412313424426023,0.03970364261445382,0.7881988992365144,25.12407753211285,0.7677718456432545
24,train,0.07977064283203489,0.04876638934752787,0.7962123495544318,23.46662475808945,0.7962123495544318
24,val,0.07167962757910755,0.037132349488385716,0.790131260058005,25.69833615208382,0.7696284290662201
25,train,0.0805336817773236,0.04931877235113555,0.7946066880180809,23.407689512002605,0.7946066880180809
25,val,0.07245736188596963,0.03811831879530021,0.7901864657513529,25.590378404618377,0.7699133566976022
26,train,0.07807701050583628,0.047098290547020305,0.7980081161392052,23.662407516073365,0.7980081161392052
26,val,0.07010817195978958,0.03603488580062449,0.7935986834035503,25.84761020489027,0.7735432206923298
27,train,0.07866744352185907,0.04754230920437851,0.7968320260709683,23.61953949067076,0.7968320260709683
27,val,0.07173819184142488,0.03746792872724452,0.7911807557018541,25.727925778060417,0.7709569813732763
28,train,0.0787181690576072,0.047773341071073096,0.7975025251791051,23.56787715348001,0.7975025251791051
28,val,0.07215942692735212,0.038028826729374396,0.791318172280737,25.439535669030175,0.7708492139689356
29,train,0.07871720465360485,0.04684745841535665,0.7938038170790944,23.63184988951955,0.7938038170790944
29,val,0.07277386280701324,0.03864081144976101,0.7906939317639783,25.515738068698358,0.7699575249811442
30,train,0.07901646864349057,0.04770829302644775,0.7957508354359253,23.58574688887868,0.7957508354359253
30,val,0.07045932700254506,0.03617221970285336,0.7923922437986881,25.8995152250703,0.7725890191803447
